product
Sopa de pollo enlatada ligera
Frijoles negros enlatados suaves
Pasta larga seca clásica
Arroz blanco graneado
Salsa de tomate espesa
Atún enlatado compacto
Maíz dulce enlatado
Verduras mixtas enlatadas
Sopa de tomate cremosa
Lentejas secas nutritivas
Sardinas enlatadas saladas
Garbanzos enlatados tiernos
Salsa pesto aromática
Puré de tomate espeso
Fideos instantáneos rápidos
Arvejas verdes enlatadas
Pasta corta firme
Leche de coco enlatada cremosa
Salsa picante aromática
Sopa de verduras ligera
